PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3,PowerConsumption_Zone1_lower,PowerConsumption_Zone2_lower,PowerConsumption_Zone3_lower,PowerConsumption_Zone1_upper,PowerConsumption_Zone2_upper,PowerConsumption_Zone3_upper
25800.384506942763,16718.129043798453,12170.376435397588,25131.919636712857,16274.483621047742,11695.039178865945,26468.849377172668,17161.774466549166,12645.71369192923
26076.786506854925,16866.941232207744,12305.681829357496,25408.32163662502,16423.29580945703,11830.344572825854,26745.25137708483,17310.586654958457,12781.019085889138
26364.224833114025,17025.072147211602,12452.061257086722,25695.75996288412,16581.42672446089,11976.72400055508,27032.68970334393,17468.717569962315,12927.398513618364
26669.359873476562,17190.709419533992,12609.694341087361,26000.895003246656,16747.06399678328,12134.357084555719,27337.824743706467,17634.354842284705,13085.031597619003
26988.03936079899,17365.947682289545,12775.587791605349,26319.574490569084,16922.302259538832,12300.250535073706,27656.504231028895,17809.593105040258,13250.92504813699
27315.22391295503,17547.47105977263,12948.25661922837,26646.759042725123,17103.825637021917,12472.919362696728,27983.688783184934,17991.116482523343,13423.593875760012
27647.010307172026,17732.312637440406,13126.054025149044,26978.54543694212,17288.667214689693,12650.716768617402,28315.47517740193,18175.95806019112,13601.391281680686
27980.839019587165,17918.762803020967,13307.387226554178,27312.37414935726,17475.117380270254,12832.049970022535,28649.30388981707,18362.40822577168,13782.72448308582
28314.438366373983,18105.53385985408,13490.811151886244,27645.973496144077,17661.888437103367,13015.473895354602,28982.90323660389,18549.179282604793,13966.148408417886
28645.74369161658,18291.329458438093,13675.122894475455,27977.278821386673,17847.68403568738,13199.785637943813,29314.208561846484,18734.974881188806,14150.460151007097
28972.98597446098,18475.04255854585,13859.285118825785,28304.521104231073,18031.397135795138,13383.947862294142,29641.450844690884,18918.687981296564,14334.622375357427
29294.71619816649,18655.785356958077,14042.399827994659,28626.251327936585,18212.139934207364,13567.062571463017,29963.181068396396,19099.43077970879,14517.737084526301
29609.74445717445,18832.83033666324,14223.70030613981,28941.279586944544,18389.184913912526,13748.363049608168,30278.209327404355,19276.475759413952,14699.037562671452
