PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3,PowerConsumption_Zone1_lower,PowerConsumption_Zone2_lower,PowerConsumption_Zone3_lower,PowerConsumption_Zone1_upper,PowerConsumption_Zone2_upper,PowerConsumption_Zone3_upper
33327.402,18247.756,13560.085,22441.545,16233.167,11304.099,44617.195,20731.506,16094.154
32725.97,18166.943,13625.473,21369.184,16187.732,11234.096,44402.445,20776.047,16218.662
31980.365,17925.697,13696.224,21160.096,15918.473,11450.537,42275.68,20220.066,16291.421
31930.152,18536.34,13724.162,19722.188,16295.572,11344.138,43961.434,21300.912,16469.865
32841.1,18727.877,13605.586,22295.625,16795.012,11602.177,43302.7,20899.219,15889.872
33488.066,18881.078,13400.173,20031.219,16607.287,10637.949,46648.62,21728.756,16292.462
33788.734,19037.604,13226.995,21068.305,16908.896,10618.222,45264.664,21937.633,15850.334
32625.047,19045.242,12793.348,21875.79,17169.875,10628.185,43446.707,21281.9,15426.139
33527.12,19235.895,12740.032,20099.168,17175.893,10333.258,45345.133,21746.06,15391.587
32353.422,19022.2,12174.281,21042.76,17110.006,10208.712,45116.285,21519.871,15008.196
32049.045,19083.31,11509.343,22649.377,17498.512,9710.506,42554.32,21087.344,14213.456
32626.34,19161.668,10967.9375,22127.492,17466.133,8982.796,43254.605,21387.16,13236.775
32659.34,18838.963,10669.73,19703.348,16675.188,8183.333,45268.457,21400.992,13728.915
32209.686,18615.172,10255.628,19738.037,16745.615,7947.0747,43609.34,20923.998,12905.36
33132.56,18731.77,10543.195,21270.287,16884.87,8650.057,44982.56,21413.951,13322.308
32040.828,18972.979,10420.934,20279.152,16886.896,8391.623,42642.133,21136.736,12841.079
33033.984,19242.473,10711.072,21243.775,17280.89,8745.088,44833.016,21756.275,13377.348
32801.98,19219.807,10508.847,21841.96,17375.332,8533.253,45296.137,21987.752,13449.235
31745.518,19378.756,10354.532,20287.656,17701.787,8448.103,43348.145,21952.45,13042.41
32856.363,19782.842,10639.911,23502.469,18205.121,8939.282,44279.402,22086.783,13279.794
33384.08,20151.008,10704.263,21613.285,18296.402,8890.498,44501.395,22277.75,13150.1
32615.377,20218.32,10612.068,19708.455,18482.377,8645.6455,44652.65,22600.652,13181.796
32698.1,20292.232,10719.782,20624.168,18327.346,8667.857,45527.81,22796.412,13248.286
32315.988,20341.275,10755.965,22614.67,18739.262,9097.121,42830.016,22365.7,12950.068
33021.297,20567.844,10767.585,22872.717,19177.764,9361.394,43220.4,22703.357,12873.953
32777.594,20830.15,10685.371,20578.25,19067.057,8801.775,45043.938,23177.545,13246.809
33635.258,21196.62,10806.688,22142.096,19718.701,9080.468,45005.81,23308.848,12911.477
